Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Cokeromyces recurvatus,0.6060606060606061,0.0247,complete_1,HMS,Species,EqualReads
Cryptococcus deuterogattii,0.6060606060606061,0.0346,complete_1,HMS,Species,EqualReads
Cryptococcus gattii,0.6060606060606061,0.0389,complete_1,HMS,Species,EqualReads
Cryptococcus neoformans,0.6060606060606061,0.0139,complete_1,HMS,Species,EqualReads
Debaryomyces fabryi,0.6060606060606061,0.031,complete_1,HMS,Species,EqualReads
Diutina rugosa,0.6060606060606061,0.0253,complete_1,HMS,Species,EqualReads
Fonsecaea monophora,0.6060606060606061,0.0245,complete_1,HMS,Species,EqualReads
Fonsecaea nubica,0.6060606060606061,0.0252,complete_1,HMS,Species,EqualReads
Fusarium falciforme,0.6060606060606061,0.0206,complete_1,HMS,Species,EqualReads
Histoplasma capsulatum,0.6060606060606061,0.0005,complete_1,HMS,Species,EqualReads
Kluyveromyces marxianus,0.6060606060606061,0.0254,complete_1,HMS,Species,EqualReads
Lodderomyces elongisporus,0.6060606060606061,0.0251,complete_1,HMS,Species,EqualReads
Malassezia globosa,0.6060606060606061,0.005,complete_1,HMS,Species,EqualReads
Malassezia japonica,0.6060606060606061,0.0251,complete_1,HMS,Species,EqualReads
Malassezia restricta,0.6060606060606061,0.0254,complete_1,HMS,Species,EqualReads
Malassezia sympodialis,0.6060606060606061,0.0258,complete_1,HMS,Species,EqualReads
Meyerozyma guilliermondii,0.6060606060606061,0.0253,complete_1,HMS,Species,EqualReads
Nakaseomyces glabratus,0.6060606060606061,0.0263,complete_1,HMS,Species,EqualReads
Penicillium rubens,0.6060606060606061,0.0481,complete_1,HMS,Species,EqualReads
Pichia kudriavzevii,0.6060606060606061,0.0254,complete_1,HMS,Species,EqualReads
Pneumocystis jirovecii,0.6060606060606061,0.0262,complete_1,HMS,Species,EqualReads
Rhizopus microsporus,0.6060606060606061,0.0171,complete_1,HMS,Species,EqualReads
Scedosporium apiospermum,0.6060606060606061,0.0253,complete_1,HMS,Species,EqualReads
Talaromyces marneffei,0.6060606060606061,0.0206,complete_1,HMS,Species,EqualReads
Trichosporon asahii,0.6060606060606061,0.0226,complete_1,HMS,Species,EqualReads
Arthroderma,0.6060606060606061,0.0258,complete_1,HMS,Genus,EqualReads
Aspergillus,7.878787878787879,0.1606,complete_1,HMS,Genus,EqualReads
Candida,6.0606060606060606,0.1184,complete_1,HMS,Genus,EqualReads
